 8.6149        0.00
 8.6316        2.03
 8.6484      -24.20
 8.6652        9.63
 8.6819      -20.82
 8.6987      -15.65
 8.7154      -17.07
 8.7322       -0.78
 8.7490       17.79
 8.7657       11.65
 8.7825       -1.33
 8.7992       -0.16
 8.8160       -7.34
 8.8328       -6.03
 8.8495      -12.79
 8.8663       -7.45
 8.8830      -13.60
 8.8998      -17.89
 8.9166       -8.78
 8.9333       -8.48
 8.9501      -24.28
 8.9668      -30.61
 8.9836      -25.40
 9.0004      -33.92
 9.0171      -37.64
 9.0339      -31.88
 9.0506      -25.30
 9.0674      -27.29
 9.0842      -13.81
 9.1009        4.62
 9.1177      -26.04
 9.1344      -47.18
 9.1512      -30.07
 9.1680      -37.33
 9.1847      -29.82
 9.2015      -14.75
 9.2182      -35.84
 9.2350      -19.96
 9.2518      -15.54
 9.2685      -11.12
 9.2853      -29.21
 9.3020      -15.34
 9.3188      -16.93
 9.3356       14.06
 9.3523      -10.26
 9.3691       -9.32
 9.3858        3.69
 9.4026       -4.72
 9.4194       -8.13
 9.4361      -17.37
 9.4529      -16.98
 9.4696      -37.76
 9.4864      -35.02
 9.5032       -2.78
 9.5199       -8.38
 9.5367       -5.85
 9.5534        4.12
 9.5702        4.72
 9.5870        8.64
 9.6037       -6.24
 9.6205       -4.29
 9.6372       11.88
 9.6540       -6.66
 9.6708      -19.77
 9.6875      -28.24
 9.7043      -16.85
 9.7210       -6.70
 9.7378      -11.70
 9.7546      -22.34
 9.7713       -9.20
 9.7881       -6.41
 9.8048      -29.37
 9.8216      -13.17
 9.8384      -14.47
 9.8551      -14.59
 9.8719      -29.43
 9.8886      -28.92
 9.9054      -18.80
 9.9222      -16.04
 9.9389      -31.78
 9.9557      -20.57
 9.9724       -8.17
 9.9892      -24.22
10.0060      -21.06
10.0227      -11.25
10.0395      -22.07
10.0562      -49.29
10.0730      -39.49
10.0898      -23.15
10.1065       -7.15
10.1233       -0.35
10.1400      -18.91
10.1568      -21.31
10.1736      -22.85
10.1903      -26.60
10.2071      -23.30
10.2238      -17.48
10.2406       -7.83
10.2574      -11.77
10.2741      -16.26
10.2909       -4.24
10.3076       -0.15
10.3244       -1.74
10.3412        9.14
10.3579       -0.21
10.3747       -1.08
10.3914        6.61
10.4082        8.57
10.4250       -8.68
10.4417      -19.62
10.4585       10.70
10.4752       10.97
10.4920      -12.22
10.5088        4.88
10.5255      -16.32
10.5423        2.98
10.5590        0.15
10.5758      -23.61
10.5926      -16.83
10.6093        3.41
10.6261       -5.00
10.6428       10.62
10.6596        2.52
10.6764        0.69
10.6931       -3.04
10.7099       -3.11
10.7266       -6.43
10.7434       -4.33
10.7602        0.39
10.7769        8.01
10.7937       -2.75
10.8104       -6.09
10.8272        3.48
10.8440       -1.45
10.8607      -11.31
10.8775       -9.81
10.8942       -1.09
10.9110       10.29
10.9278       13.80
10.9445       11.07
10.9613       18.68
10.9780       14.84
10.9948       22.42
11.0116        0.43
11.0283       -6.62
11.0451        3.54
11.0618       12.46
11.0786        5.37
11.0954       -4.55
11.1121       28.13
11.1289       11.16
11.1456        3.19
11.1624      -12.35
11.1792       -2.58
11.1959       14.78
